annee;tranche_horaire;Loire-Atlantique;Cote d Armor;Calvados;Seine-Maritime;Somme;Nord;Charante Maritime;Gironde;Herault;Bouches-du-Rhone
2017;21;0.347;0.241;0.567;0.432;0.271;0.168;0.269;0.374;0.031;0.116
2017;22;0.325;0.206;0.479;0.278;0.194;0.159;0.273;0.42;0.047;0.101
2017;23;0.3;0.17;0.369;0.151;0.142;0.248;0.264;0.447;0.068;0.084
2017;24;0.264;0.133;0.253;0.122;0.101;0.375;0.27;0.469;0.092;0.102
2017;25;0.225;0.093;0.118;0.148;0.047;0.477;0.283;0.481;0.115;0.132
2017;26;0.206;0.054;0.048;0.231;0.045;0.519;0.302;0.461;0.129;0.171
2017;27;0.178;0.034;0.111;0.337;0.133;0.516;0.308;0.429;0.13;0.207
2017;28;0.149;0.019;0.244;0.519;0.247;0.505;0.294;0.426;0.123;0.238
2017;29;0.144;0.025;0.422;0.656;0.339;0.485;0.264;0.42;0.121;0.264
2017;30;0.164;0.068;0.591;0.699;0.382;0.452;0.207;0.358;0.112;0.279
2017;31;0.176;0.13;0.658;0.685;0.391;0.457;0.18;0.312;0.086;0.301
2017;32;0.166;0.2;0.653;0.671;0.395;0.444;0.164;0.292;0.062;0.334
2017;33;0.144;0.26;0.605;0.625;0.362;0.395;0.151;0.285;0.043;0.343
2017;34;0.141;0.313;0.561;0.583;0.299;0.327;0.133;0.272;0.03;0.365
2017;35;0.131;0.375;0.557;0.559;0.245;0.278;0.123;0.255;0.027;0.4
2017;36;0.135;0.431;0.558;0.538;0.214;0.271;0.119;0.264;0.038;0.401
2017;37;0.155;0.461;0.557;0.527;0.223;0.297;0.113;0.268;0.06;0.346
2017;38;0.201;0.466;0.547;0.525;0.249;0.334;0.115;0.274;0.093;0.269
2017;39;0.286;0.455;0.552;0.521;0.275;0.375;0.124;0.276;0.137;0.218
2017;40;0.401;0.507;0.544;0.522;0.303;0.415;0.173;0.332;0.183;0.21
2017;41;0.502;0.542;0.518;0.508;0.323;0.45;0.235;0.407;0.198;0.231
2017;42;0.584;0.526;0.491;0.481;0.316;0.45;0.273;0.454;0.217;0.259
2017;43;0.637;0.471;0.439;0.431;0.291;0.42;0.284;0.457;0.28;0.334
2017;44;0.652;0.43;0.361;0.367;0.26;0.386;0.297;0.461;0.388;0.501
2017;45;0.69;0.367;0.301;0.31;0.226;0.361;0.337;0.507;0.457;0.695
2017;46;0.692;0.314;0.25;0.249;0.18;0.323;0.37;0.547;0.495;0.796
2017;47;0.668;0.262;0.199;0.174;0.127;0.293;0.398;0.568;0.54;0.86
2017;48;0.642;0.218;0.138;0.114;0.093;0.302;0.4;0.574;0.571;0.904
2017;49;0.601;0.169;0.095;0.089;0.089;0.328;0.404;0.571;0.587;0.932
2017;50;0.564;0.138;0.061;0.073;0.092;0.356;0.42;0.585;0.588;0.94
2017;51;0.565;0.118;0.035;0.066;0.102;0.391;0.444;0.593;0.588;0.951
2017;52;0.568;0.102;0.022;0.076;0.124;0.426;0.466;0.61;0.612;0.964
2017;53;0.557;0.087;0.019;0.095;0.148;0.447;0.479;0.625;0.648;0.971
2017;54;0.544;0.077;0.02;0.112;0.164;0.456;0.476;0.617;0.682;0.975
2017;55;0.538;0.069;0.024;0.122;0.171;0.461;0.469;0.6;0.7;0.977
2017;56;0.527;0.061;0.023;0.117;0.17;0.476;0.455;0.56;0.668;0.973
2017;57;0.469;0.042;0.027;0.126;0.187;0.467;0.42;0.498;0.597;0.956
2017;58;0.376;0.019;0.05;0.167;0.219;0.457;0.363;0.436;0.566;0.911
2017;59;0.288;0.007;0.082;0.233;0.261;0.522;0.317;0.392;0.55;0.822
2017;60;0.239;0.003;0.131;0.311;0.314;0.589;0.294;0.374;0.526;0.702
2017;61;0.231;0.001;0.192;0.408;0.384;0.635;0.289;0.373;0.503;0.635
2017;62;0.234;0.003;0.258;0.507;0.475;0.677;0.294;0.389;0.472;0.635
2017;63;0.261;0.006;0.323;0.585;0.566;0.72;0.313;0.425;0.494;0.685
2017;64;0.302;0.008;0.372;0.626;0.615;0.748;0.367;0.494;0.599;0.746
2017;65;0.312;0.014;0.427;0.655;0.636;0.763;0.397;0.538;0.675;0.756
2017;66;0.279;0.035;0.487;0.686;0.651;0.77;0.39;0.55;0.705;0.688
2017;67;0.23;0.07;0.556;0.729;0.666;0.77;0.352;0.517;0.712;0.644
2017;68;0.183;0.12;0.627;0.768;0.679;0.764;0.303;0.457;0.705;0.645
2017;69;0.141;0.166;0.684;0.804;0.695;0.758;0.252;0.38;0.694;0.669
2017;70;0.102;0.206;0.733;0.842;0.736;0.76;0.208;0.314;0.668;0.682
2017;71;0.069;0.251;0.761;0.865;0.753;0.785;0.173;0.27;0.63;0.663
2017;72;0.031;0.3;0.784;0.885;0.753;0.782;0.131;0.231;0.594;0.622
2017;73;0.011;0.35;0.799;0.899;0.755;0.781;0.093;0.184;0.562;0.61
2017;74;0.006;0.392;0.815;0.902;0.755;0.765;0.068;0.142;0.541;0.646
2017;75;0.006;0.433;0.824;0.897;0.762;0.746;0.054;0.119;0.523;0.684
2017;76;0.012;0.472;0.83;0.88;0.746;0.713;0.046;0.114;0.504;0.72
2017;77;0.029;0.501;0.824;0.869;0.727;0.692;0.041;0.114;0.491;0.764
2017;78;0.063;0.508;0.808;0.852;0.72;0.688;0.041;0.118;0.488;0.82
2017;79;0.091;0.507;0.773;0.836;0.691;0.692;0.045;0.127;0.495;0.869
2017;80;0.114;0.505;0.74;0.816;0.67;0.691;0.045;0.128;0.46;0.896
2017;81;0.127;0.469;0.708;0.796;0.644;0.683;0.036;0.107;0.379;0.907
2017;82;0.126;0.416;0.67;0.789;0.638;0.701;0.03;0.09;0.332;0.928
2017;83;0.158;0.382;0.649;0.773;0.605;0.728;0.032;0.075;0.415;0.959
2017;84;0.202;0.371;0.658;0.753;0.568;0.763;0.039;0.072;0.46;0.972
2017;85;0.228;0.343;0.662;0.727;0.532;0.772;0.058;0.086;0.491;0.97
2017;86;0.238;0.323;0.656;0.695;0.526;0.761;0.081;0.099;0.53;0.966
2017;87;0.277;0.339;0.649;0.689;0.564;0.764;0.098;0.109;0.684;0.974
2017;88;0.314;0.352;0.624;0.687;0.601;0.791;0.124;0.126;0.813;0.982
2017;89;0.337;0.334;0.595;0.695;0.625;0.794;0.155;0.152;0.854;0.986
2017;90;0.35;0.3;0.574;0.69;0.603;0.772;0.192;0.181;0.857;0.989
2017;91;0.345;0.261;0.541;0.652;0.562;0.748;0.225;0.219;0.857;0.99
2017;92;0.326;0.227;0.495;0.599;0.535;0.722;0.24;0.241;0.864;0.99
2017;93;0.291;0.18;0.447;0.554;0.516;0.685;0.233;0.245;0.865;0.989
2017;94;0.248;0.133;0.41;0.523;0.503;0.657;0.224;0.245;0.863;0.988
2017;95;0.205;0.1;0.371;0.494;0.485;0.639;0.199;0.24;0.867;0.988
2017;96;0.174;0.079;0.341;0.475;0.471;0.625;0.17;0.219;0.865;0.988
2017;97;0.154;0.069;0.323;0.466;0.463;0.612;0.152;0.196;0.849;0.989
2017;98;0.143;0.072;0.302;0.454;0.453;0.594;0.137;0.186;0.834;0.99
2017;99;0.142;0.093;0.289;0.444;0.433;0.586;0.132;0.179;0.836;0.99
2017;100;0.144;0.124;0.282;0.429;0.414;0.583;0.123;0.168;0.845;0.99
2017;101;0.149;0.155;0.275;0.414;0.405;0.575;0.12;0.168;0.845;0.99
2017;102;0.165;0.183;0.274;0.403;0.398;0.566;0.127;0.177;0.841;0.991
2017;103;0.193;0.2;0.27;0.392;0.39;0.566;0.144;0.192;0.84;0.991
2017;104;0.24;0.206;0.261;0.377;0.366;0.535;0.165;0.215;0.811;0.991
2017;105;0.261;0.178;0.225;0.334;0.31;0.468;0.174;0.216;0.817;0.989
2017;106;0.256;0.136;0.169;0.269;0.235;0.379;0.163;0.188;0.84;0.986
2017;107;0.247;0.125;0.157;0.228;0.22;0.304;0.134;0.154;0.858;0.986
2017;108;0.246;0.132;0.133;0.184;0.212;0.234;0.132;0.138;0.867;0.985
2017;109;0.227;0.114;0.106;0.145;0.187;0.172;0.133;0.154;0.866;0.985
2017;110;0.208;0.107;0.084;0.123;0.178;0.134;0.129;0.157;0.859;0.985
2017;111;0.209;0.116;0.058;0.104;0.172;0.133;0.133;0.175;0.862;0.983
2017;112;0.212;0.12;0.033;0.09;0.159;0.143;0.145;0.212;0.873;0.983
2017;113;0.222;0.118;0.02;0.085;0.14;0.16;0.169;0.271;0.882;0.982
2017;114;0.248;0.122;0.016;0.077;0.13;0.181;0.206;0.353;0.888;0.982
2017;115;0.29;0.135;0.016;0.059;0.133;0.197;0.252;0.443;0.888;0.982
2017;116;0.349;0.158;0.019;0.041;0.147;0.208;0.301;0.521;0.893;0.987
2017;117;0.384;0.171;0.027;0.041;0.183;0.229;0.337;0.564;0.898;0.991
2017;118;0.4;0.177;0.043;0.072;0.241;0.264;0.358;0.573;0.903;0.989
2017;119;0.407;0.175;0.062;0.122;0.289;0.291;0.353;0.556;0.908;0.974
2017;120;0.395;0.158;0.082;0.167;0.309;0.294;0.328;0.528;0.907;0.939
2017;121;0.369;0.15;0.107;0.195;0.302;0.284;0.292;0.506;0.889;0.867
2017;122;0.325;0.145;0.142;0.225;0.285;0.27;0.26;0.481;0.858;0.78
2017;123;0.295;0.145;0.172;0.241;0.266;0.256;0.245;0.454;0.82;0.71
2017;124;0.278;0.144;0.175;0.234;0.236;0.241;0.231;0.425;0.776;0.631
2017;125;0.252;0.141;0.156;0.219;0.209;0.221;0.221;0.409;0.71;0.529
2017;126;0.228;0.139;0.139;0.202;0.192;0.205;0.217;0.405;0.654;0.386
2017;127;0.213;0.139;0.134;0.188;0.181;0.206;0.219;0.413;0.633;0.295
2017;128;0.214;0.137;0.133;0.177;0.169;0.213;0.234;0.433;0.614;0.255
2017;129;0.212;0.132;0.133;0.167;0.143;0.202;0.259;0.44;0.615;0.219
2017;130;0.218;0.134;0.147;0.183;0.145;0.211;0.281;0.466;0.622;0.167
2017;131;0.203;0.156;0.159;0.201;0.159;0.229;0.313;0.507;0.613;0.205
2017;132;0.183;0.148;0.158;0.202;0.155;0.233;0.334;0.518;0.59;0.316
2017;133;0.163;0.124;0.153;0.194;0.146;0.236;0.345;0.528;0.559;0.506
2017;134;0.144;0.099;0.149;0.192;0.148;0.261;0.355;0.535;0.524;0.631
2017;135;0.156;0.089;0.169;0.212;0.185;0.334;0.373;0.558;0.495;0.718
2017;136;0.192;0.092;0.199;0.243;0.233;0.404;0.425;0.633;0.522;0.803
2017;137;0.233;0.111;0.244;0.289;0.281;0.443;0.464;0.686;0.563;0.855
2017;138;0.274;0.142;0.305;0.343;0.327;0.461;0.479;0.71;0.602;0.869
2017;139;0.3;0.172;0.362;0.401;0.361;0.472;0.472;0.704;0.62;0.86
2017;140;0.302;0.193;0.405;0.454;0.372;0.476;0.449;0.679;0.623;0.833
2017;141;0.289;0.203;0.436;0.494;0.365;0.481;0.413;0.635;0.643;0.796
2017;142;0.272;0.196;0.45;0.52;0.357;0.501;0.376;0.583;0.668;0.733
2017;143;0.249;0.186;0.464;0.55;0.367;0.535;0.349;0.54;0.677;0.638
2017;144;0.215;0.18;0.495;0.594;0.397;0.556;0.335;0.511;0.676;0.55
2017;145;0.186;0.18;0.541;0.639;0.433;0.567;0.328;0.501;0.679;0.472
2017;146;0.18;0.186;0.566;0.676;0.485;0.571;0.31;0.485;0.676;0.411
2017;147;0.185;0.185;0.568;0.666;0.464;0.577;0.294;0.457;0.677;0.343
2017;148;0.187;0.179;0.58;0.663;0.44;0.586;0.286;0.428;0.686;0.317
2017;149;0.178;0.18;0.613;0.677;0.449;0.586;0.291;0.417;0.696;0.302
2017;150;0.167;0.183;0.647;0.692;0.466;0.56;0.302;0.421;0.688;0.31
2017;151;0.163;0.194;0.666;0.692;0.467;0.491;0.307;0.415;0.67;0.315
2017;152;0.154;0.212;0.672;0.689;0.476;0.457;0.285;0.379;0.611;0.266
2017;153;0.113;0.23;0.669;0.705;0.513;0.362;0.227;0.296;0.525;0.196
2017;154;0.054;0.239;0.653;0.701;0.493;0.261;0.2;0.236;0.447;0.125
2017;155;0.02;0.248;0.628;0.673;0.447;0.22;0.162;0.201;0.38;0.083
2017;156;0.008;0.253;0.643;0.631;0.404;0.201;0.142;0.19;0.351;0.087
2017;157;0.014;0.265;0.685;0.599;0.364;0.209;0.14;0.208;0.32;0.145
2017;158;0.034;0.266;0.702;0.566;0.332;0.243;0.158;0.252;0.227;0.278
2017;159;0.061;0.295;0.715;0.521;0.291;0.259;0.194;0.325;0.196;0.471
2017;160;0.08;0.35;0.695;0.454;0.254;0.264;0.22;0.392;0.251;0.678
2017;161;0.089;0.393;0.654;0.376;0.229;0.27;0.226;0.42;0.315;0.785
2017;162;0.099;0.413;0.592;0.302;0.211;0.272;0.223;0.43;0.373;0.819
2017;163;0.121;0.426;0.531;0.259;0.202;0.243;0.22;0.434;0.403;0.829
2017;164;0.164;0.417;0.472;0.225;0.192;0.214;0.215;0.432;0.421;0.839
2017;165;0.191;0.388;0.393;0.18;0.184;0.209;0.205;0.419;0.449;0.862
2017;166;0.195;0.347;0.301;0.139;0.187;0.202;0.188;0.391;0.475;0.873
2017;167;0.192;0.316;0.235;0.127;0.191;0.191;0.167;0.35;0.487;0.879
2017;168;0.181;0.296;0.212;0.133;0.192;0.179;0.146;0.308;0.507;0.881
2017;169;0.168;0.29;0.207;0.137;0.188;0.158;0.125;0.264;0.523;0.884
2017;170;0.15;0.289;0.225;0.143;0.179;0.133;0.104;0.217;0.538;0.895
2017;171;0.154;0.279;0.259;0.144;0.156;0.112;0.107;0.193;0.559;0.91
2017;172;0.177;0.267;0.3;0.141;0.128;0.103;0.125;0.201;0.595;0.93
2017;173;0.202;0.264;0.336;0.14;0.112;0.105;0.146;0.209;0.642;0.944
2017;174;0.225;0.269;0.355;0.129;0.092;0.106;0.166;0.201;0.69;0.955
2017;175;0.233;0.271;0.355;0.111;0.062;0.103;0.191;0.202;0.727;0.961
2017;176;0.22;0.27;0.326;0.084;0.035;0.097;0.203;0.211;0.724;0.96
2017;177;0.171;0.259;0.292;0.066;0.021;0.093;0.179;0.203;0.725;0.968
2017;178;0.12;0.249;0.256;0.059;0.016;0.083;0.142;0.172;0.728;0.978
2017;179;0.09;0.239;0.223;0.059;0.013;0.068;0.114;0.149;0.81;0.983
2017;180;0.078;0.243;0.201;0.056;0.012;0.051;0.094;0.131;0.845;0.986
2017;181;0.08;0.242;0.183;0.049;0.01;0.038;0.086;0.114;0.851;0.989
2017;182;0.088;0.236;0.161;0.044;0.012;0.028;0.084;0.098;0.863;0.99
2017;183;0.102;0.259;0.155;0.042;0.015;0.021;0.089;0.089;0.858;0.991
2017;184;0.117;0.259;0.153;0.041;0.019;0.012;0.104;0.099;0.864;0.99
2017;185;0.12;0.236;0.15;0.04;0.028;0.005;0.107;0.102;0.862;0.984
2017;186;0.118;0.221;0.146;0.041;0.043;0.005;0.1;0.098;0.847;0.962
2017;187;0.118;0.211;0.144;0.045;0.067;0.012;0.084;0.083;0.829;0.911
2017;188;0.121;0.201;0.139;0.052;0.098;0.029;0.067;0.063;0.81;0.841
2017;189;0.119;0.198;0.142;0.069;0.137;0.058;0.052;0.049;0.82;0.777
2017;190;0.118;0.205;0.155;0.099;0.175;0.094;0.04;0.04;0.832;0.683
2017;191;0.118;0.222;0.181;0.142;0.203;0.132;0.028;0.034;0.813;0.574
2017;192;0.115;0.239;0.225;0.202;0.228;0.167;0.017;0.025;0.777;0.509
2017;193;0.107;0.261;0.279;0.272;0.244;0.199;0.009;0.015;0.75;0.472
2017;194;0.092;0.268;0.321;0.347;0.264;0.219;0.005;0.008;0.727;0.472
2017;195;0.083;0.276;0.34;0.395;0.285;0.243;0.003;0.005;0.708;0.501
2017;196;0.087;0.3;0.37;0.431;0.311;0.282;0.003;0.007;0.68;0.525
2017;197;0.118;0.332;0.422;0.47;0.348;0.312;0.004;0.011;0.635;0.535
2017;198;0.162;0.343;0.468;0.503;0.388;0.345;0.006;0.01;0.59;0.53
2017;199;0.199;0.36;0.52;0.519;0.398;0.379;0.009;0.007;0.552;0.541
2017;200;0.219;0.395;0.571;0.548;0.392;0.384;0.011;0.006;0.471;0.526
2017;201;0.252;0.447;0.575;0.59;0.382;0.4;0.011;0.009;0.397;0.519
2017;202;0.339;0.464;0.624;0.633;0.371;0.428;0.022;0.023;0.325;0.565
2017;203;0.435;0.56;0.714;0.745;0.45;0.485;0.054;0.06;0.285;0.692
2017;204;0.519;0.582;0.724;0.768;0.53;0.549;0.094;0.106;0.266;0.82
2017;205;0.593;0.651;0.73;0.772;0.543;0.645;0.125;0.16;0.241;0.896
2017;206;0.659;0.705;0.762;0.81;0.556;0.697;0.163;0.172;0.224;0.923
2017;207;0.718;0.759;0.861;0.866;0.642;0.753;0.231;0.22;0.313;0.943
2017;208;0.811;0.795;0.893;0.9;0.729;0.796;0.317;0.289;0.474;0.963
2017;209;0.86;0.819;0.906;0.919;0.778;0.793;0.399;0.358;0.548;0.976
2017;210;0.885;0.808;0.915;0.93;0.808;0.823;0.474;0.422;0.57;0.978
2017;211;0.913;0.756;0.912;0.93;0.791;0.792;0.534;0.491;0.598;0.975
2017;212;0.927;0.712;0.881;0.887;0.722;0.649;0.613;0.591;0.636;0.972
2017;213;0.925;0.663;0.853;0.858;0.68;0.479;0.674;0.665;0.69;0.975
2017;214;0.877;0.602;0.775;0.812;0.642;0.498;0.761;0.752;0.737;0.973
2017;215;0.781;0.607;0.729;0.777;0.635;0.532;0.801;0.856;0.737;0.967
2017;216;0.684;0.586;0.708;0.744;0.591;0.53;0.793;0.878;0.703;0.954
2017;217;0.633;0.557;0.706;0.739;0.528;0.511;0.731;0.866;0.69;0.937
2017;218;0.665;0.57;0.729;0.776;0.544;0.506;0.63;0.836;0.678;0.928
2017;219;0.678;0.571;0.759;0.809;0.595;0.535;0.578;0.769;0.658;0.917
2017;220;0.674;0.608;0.788;0.833;0.632;0.523;0.589;0.725;0.612;0.893
2017;221;0.673;0.654;0.8;0.833;0.63;0.511;0.592;0.739;0.555;0.857
2017;222;0.645;0.681;0.809;0.832;0.615;0.488;0.571;0.714;0.518;0.792
2017;223;0.622;0.666;0.785;0.808;0.568;0.441;0.556;0.707;0.481;0.668
2017;224;0.601;0.654;0.744;0.778;0.535;0.426;0.519;0.697;0.469;0.498
2017;225;0.613;0.66;0.714;0.773;0.506;0.414;0.444;0.652;0.491;0.4
2017;226;0.59;0.615;0.661;0.759;0.479;0.395;0.447;0.642;0.623;0.395
2017;227;0.566;0.595;0.693;0.734;0.466;0.364;0.5;0.658;0.693;0.394
2017;228;0.607;0.596;0.695;0.705;0.445;0.341;0.502;0.644;0.71;0.432
2017;229;0.647;0.578;0.672;0.663;0.408;0.325;0.485;0.618;0.666;0.5
2017;230;0.65;0.553;0.611;0.59;0.344;0.329;0.501;0.631;0.641;0.591
2017;231;0.615;0.495;0.544;0.519;0.301;0.328;0.514;0.656;0.701;0.772
2017;232;0.577;0.4;0.489;0.435;0.236;0.302;0.516;0.663;0.744;0.881
2017;233;0.556;0.323;0.466;0.409;0.204;0.299;0.498;0.643;0.751;0.897
2017;234;0.484;0.318;0.4;0.367;0.196;0.326;0.473;0.633;0.754;0.868
2017;235;0.457;0.365;0.362;0.343;0.197;0.344;0.407;0.59;0.763;0.82
2017;236;0.459;0.419;0.391;0.352;0.212;0.365;0.35;0.517;0.775;0.783
2017;237;0.452;0.461;0.423;0.367;0.238;0.379;0.297;0.465;0.78;0.73
2017;238;0.479;0.498;0.514;0.464;0.284;0.382;0.209;0.358;0.793;0.638
2017;239;0.525;0.54;0.592;0.552;0.354;0.41;0.137;0.22;0.788;0.54
2017;240;0.578;0.534;0.602;0.58;0.417;0.47;0.118;0.119;0.754;0.471
2017;241;0.594;0.479;0.599;0.59;0.466;0.505;0.139;0.087;0.701;0.43
2017;242;0.591;0.503;0.62;0.608;0.488;0.543;0.164;0.066;0.636;0.406
2017;243;0.576;0.532;0.645;0.652;0.51;0.605;0.194;0.064;0.594;0.366
2017;244;0.582;0.58;0.688;0.707;0.551;0.651;0.223;0.104;0.545;0.358
2017;245;0.663;0.642;0.726;0.765;0.598;0.685;0.253;0.178;0.504;0.325
2017;246;0.71;0.69;0.785;0.809;0.644;0.731;0.259;0.272;0.471;0.288
2017;247;0.744;0.762;0.848;0.847;0.706;0.822;0.263;0.325;0.454;0.311
2017;248;0.732;0.814;0.882;0.903;0.787;0.794;0.334;0.352;0.375;0.343
2017;249;0.712;0.764;0.873;0.897;0.782;0.732;0.438;0.413;0.316;0.357
2017;250;0.715;0.762;0.885;0.904;0.754;0.739;0.491;0.494;0.295;0.356
2017;251;0.778;0.78;0.884;0.897;0.765;0.802;0.491;0.551;0.321;0.376
2017;252;0.811;0.806;0.896;0.908;0.772;0.869;0.538;0.612;0.353;0.386
2017;253;0.841;0.813;0.907;0.918;0.791;0.884;0.606;0.662;0.374;0.37
2017;254;0.8;0.794;0.906;0.914;0.779;0.865;0.618;0.649;0.38;0.337
2017;255;0.729;0.765;0.901;0.914;0.779;0.865;0.615;0.645;0.379;0.321
2017;256;0.713;0.722;0.892;0.913;0.779;0.861;0.591;0.657;0.437;0.343
2017;257;0.661;0.644;0.866;0.9;0.784;0.856;0.513;0.636;0.484;0.395
2017;258;0.547;0.549;0.835;0.888;0.763;0.824;0.423;0.578;0.501;0.483
2017;259;0.498;0.501;0.801;0.871;0.733;0.798;0.323;0.466;0.496;0.561
2017;260;0.41;0.459;0.78;0.859;0.706;0.783;0.28;0.37;0.496;0.623
2017;261;0.274;0.454;0.763;0.846;0.672;0.762;0.281;0.358;0.466;0.662
2017;262;0.308;0.415;0.755;0.853;0.687;0.725;0.217;0.323;0.409;0.684
2017;263;0.283;0.425;0.724;0.842;0.69;0.71;0.168;0.243;0.377;0.691
2017;264;0.243;0.434;0.713;0.831;0.67;0.697;0.167;0.199;0.381;0.683
2017;265;0.23;0.395;0.703;0.815;0.674;0.703;0.149;0.189;0.38;0.705
2017;266;0.177;0.367;0.682;0.793;0.64;0.689;0.112;0.17;0.347;0.739
2017;267;0.113;0.34;0.622;0.735;0.613;0.691;0.079;0.13;0.364;0.753
2017;268;0.112;0.348;0.542;0.645;0.544;0.682;0.041;0.076;0.401;0.77
2017;269;0.167;0.376;0.561;0.618;0.482;0.662;0.011;0.031;0.413;0.789
2017;270;0.266;0.42;0.593;0.626;0.464;0.657;0.007;0.006;0.379;0.803
2017;271;0.407;0.47;0.639;0.652;0.464;0.641;0.041;0.022;0.33;0.788
2017;272;0.516;0.516;0.695;0.695;0.495;0.599;0.107;0.085;0.302;0.741
2017;273;0.574;0.568;0.75;0.752;0.512;0.528;0.196;0.198;0.269;0.676
2017;274;0.675;0.638;0.807;0.812;0.526;0.457;0.292;0.329;0.273;0.601
2017;275;0.799;0.745;0.865;0.874;0.574;0.379;0.413;0.481;0.259;0.532
2017;276;0.871;0.829;0.918;0.918;0.672;0.386;0.568;0.682;0.229;0.476
2017;277;0.953;0.888;0.952;0.947;0.722;0.469;0.729;0.831;0.223;0.401
2017;278;0.989;0.91;0.972;0.968;0.785;0.575;0.896;0.949;0.21;0.384
2017;279;0.976;0.966;0.98;0.979;0.844;0.652;0.97;0.989;0.203;0.344
2017;280;0.868;0.987;0.978;0.978;0.879;0.697;0.99;0.991;0.266;0.283
2017;281;0.911;0.99;0.991;0.969;0.881;0.7;0.987;0.982;0.317;0.287
2017;282;0.944;0.989;0.976;0.991;0.822;0.58;0.99;0.951;0.316;0.323
2017;283;0.985;0.979;0.967;0.946;0.932;0.202;0.991;0.984;0.323;0.314
2017;284;0.991;0.961;0.988;0.937;0.991;0.401;0.983;0.991;0.379;0.331
2017;285;0.991;0.931;0.991;0.981;0.991;0.939;0.968;0.99;0.522;0.453
2017;286;0.987;0.897;0.987;0.99;0.988;0.986;0.963;0.989;0.669;0.62
2017;287;0.979;0.887;0.978;0.991;0.979;0.989;0.948;0.987;0.817;0.876
2017;288;0.974;0.872;0.967;0.984;0.958;0.986;0.922;0.979;0.962;0.981
2017;289;0.971;0.862;0.939;0.964;0.926;0.973;0.898;0.968;0.977;0.989
2017;290;0.962;0.874;0.924;0.941;0.885;0.947;0.886;0.957;0.951;0.989
2017;291;0.972;0.879;0.906;0.921;0.841;0.913;0.867;0.952;0.906;0.982
2017;292;0.985;0.884;0.882;0.901;0.788;0.882;0.845;0.938;0.862;0.972
2017;293;0.988;0.923;0.887;0.896;0.758;0.866;0.858;0.91;0.834;0.959
2017;294;0.985;0.946;0.927;0.923;0.764;0.871;0.892;0.922;0.788;0.939
2017;295;0.977;0.918;0.959;0.949;0.777;0.853;0.913;0.955;0.809;0.91
2017;296;0.96;0.908;0.964;0.969;0.811;0.833;0.916;0.97;0.864;0.922
2017;297;0.914;0.893;0.96;0.977;0.831;0.83;0.889;0.964;0.896;0.936
2017;298;0.9;0.89;0.965;0.985;0.891;0.879;0.864;0.952;0.935;0.948
2017;299;0.911;0.907;0.984;0.991;0.943;0.927;0.845;0.935;0.939;0.962
2017;300;0.918;0.917;0.99;0.991;0.959;0.946;0.838;0.92;0.93;0.964
2017;301;0.914;0.907;0.991;0.991;0.963;0.971;0.831;0.905;0.939;0.966
2017;302;0.903;0.886;0.989;0.991;0.968;0.985;0.801;0.883;0.938;0.977
2017;303;0.893;0.865;0.983;0.991;0.964;0.983;0.773;0.862;0.941;0.984
2017;304;0.868;0.85;0.972;0.986;0.951;0.977;0.752;0.851;0.95;0.984
2017;305;0.835;0.846;0.96;0.977;0.924;0.968;0.706;0.823;0.95;0.981
2017;306;0.824;0.848;0.943;0.965;0.891;0.958;0.67;0.781;0.934;0.981
